"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"pre";135,18;142,24;59,18;134,38;127,05
"ver_sup";9,3;12,53;3,03;6,25;14,34
"adj_dem";3,32;3,45;0;3,12;0
"ono";1,2;1,1;22,76;0;4,1
"pro_per";29,5;47,69;16,69;3,12;32,79
"num";50,15;3,29;0;12,5;10,25
"adv";3,53;4,3;0;6,25;4,1
"ver";72,44;100,42;44,01;56,25;94,26
"adj_ind";3,34;1,66;3,03;6,25;0
"adj_pos";10,48;18,99;7,59;0;34,84
"aux";32,6;43,42;24,28;9,38;16,39
"nr";120,93;87,35;200,3;90,62;98,36
"pro_ind";6,56;9,58;3,03;12,5;6,15
"adj";66,83;70,36;84,98;71,88;61,48
"pro_dem";5,63;4,07;0;0;4,1
"nom";241,25;214,88;232,17;315,62;266,39
"art_ind";38,97;52,61;47,04;46,88;34,84
"adj_int";0,24;0,14;0;0;0
"pro_pos";0,05;0,08;0;0;0
"nom_sup";3,87;2,36;0;3,12;4,1
"adv_sup";19,83;31,09;7,59;18,75;18,44
"adj_sup";0,89;0,81;0;0;8,2
"art_def";100,76;79,71;101,67;153,12;106,56
"adj_num";1,61;2,13;21,24;0;4,1
"pro_rel";12,79;21,49;24,28;6,25;18,44
"con";28,73;44,24;97,12;43,75;30,74
